,id,order_id,line_number,quantity,unit_price_order_items,discount_amount,tax_amount,sku,product_name,brand,unit_price,unit_cost,active_from,active_to,created_at_x,category_name,quantity_on_hand,last_updated_at,warehouse_name,city,province,country_code,order_status,order_date,currency_orders,shipping_amount,order_subtotal,order_discount,order_tax,order_total,created_at_y,payment_method,amount,currency_payments,payment_status,paid_at,carrier,service_level,shipped_at,delivered_at,shipping_cost,tracking_number,first_name,last_name,email,phone,gender,birth_date,created_at_customers,marketing_opt_in,address_type_billing,street_billing,city_billing,province_billing,country_code_billing,postal_code_billing,created_at_billing,is_primary_billing,address_type_shipping,street_shipping,city_shipping,province_shipping,country_code_shipping,postal_code_shipping,created_at_shipping,is_primary_shipping,channel_name_orders,description_orders,utm_source_order_marketing,utm_medium_order_marketing,utm_campaign_order_marketing,utm_content_order_marketing,utm_term_order_marketing,channel_name,description,campaign_name_campaigns,utm_source_campaigns,utm_medium_campaigns,utm_campaign_campaigns,start_date_campaigns,end_date_campaigns,budget_ars_campaigns
0,1,100001,1,2,97309.59,13623.34,38009.13,SKU-00137,Norte Mochilas 137,Norte,97309.59,68624.94,2025-06-23,,2025-06-23 04:58:47,Mochilas,90,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
1,2,100001,1,2,97309.59,13623.34,38009.13,SKU-00137,Norte Mochilas 137,Norte,97309.59,68624.94,2025-06-23,,2025-06-23 04:58:47,Mochilas,18,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
2,3,100001,2,2,69290.55,2771.62,28519.99,SKU-00148,Norte Mochilas 148,Norte,69290.55,54575.92,2025-04-03,2025-07-21,2025-04-03 03:37:02,Mochilas,43,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
3,4,100001,2,2,69290.55,2771.62,28519.99,SKU-00148,Norte Mochilas 148,Norte,69290.55,54575.92,2025-04-03,2025-07-21,2025-04-03 03:37:02,Mochilas,158,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
4,5,100001,3,3,55916.19,8387.43,33465.84,SKU-00053,Estilo Remeras 053,Estilo,55916.19,37874.91,2025-06-23,,2025-06-23 19:31:22,Remeras,106,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
5,6,100001,3,3,55916.19,8387.43,33465.84,SKU-00053,Estilo Remeras 053,Estilo,55916.19,37874.91,2025-06-23,,2025-06-23 19:31:22,Remeras,186,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
6,7,100001,4,3,35690.74,12848.67,19786.95,SKU-00077,Río Gorras 077,Río,35690.74,22546.25,2025-07-14,,2025-07-14 13:48:12,Gorras,57,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
7,8,100001,4,3,35690.74,12848.67,19786.95,SKU-00077,Río Gorras 077,Río,35690.74,22546.25,2025-07-14,,2025-07-14 13:48:12,Gorras,27,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-08-24 05:25:58,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,OCA,Estándar,2025-08-27 05:25:58,2025-08-29 05:25:58,0.0,PN8809905912,Tomás,Herrera,tomas.herrera@example.com,+54 9 2453-4804-336,X,1987-10-19,2025-05-10 08:24:26,True,billing,Alsina 6226,Salta,Entre Ríos,AR,4014.0,2025-05-10 08:24:26,True,shipping,Dorrego 7908,CABA,CABA,AR,3196,2025-05-10 08:24:26,True,Web,Tienda online desktop/mobile,meta,social,retargeting_jul_2025,,mochilas,Web,Tienda online desktop/mobile,Retargeting Julio 2025 - Web,meta,social,retargeting_jul_2025,2025-08-08,2025-08-27,3157411.81
8,9,100002,1,1,42260.66,5071.28,7809.77,SKU-00140,Sur Botas 140,Sur,42260.66,31956.35,2025-05-04,,2025-05-04 10:44:44,Botas,4,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
9,10,100002,1,1,42260.66,5071.28,7809.77,SKU-00140,Sur Botas 140,Sur,42260.66,31956.35,2025-05-04,,2025-05-04 10:44:44,Botas,117,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
